fair_slug,gallery_name_en,gallery_slug,artist_slug,source_url,existing_images_for_artist
frieze_london,Adams and Ollman,adams-and-ollman,mariel-capanna-1,https://adamsandollman.com/Mariel-Capanna-1,5
frieze_london,Arcadia Missa,arcadia-missa,jesse-darling,https://arcadiamissa.com/jesse-darling/,5
frieze_london,Athr,athr,zahrah-alghamdi,https://athrart.com/artists/36-zahrah-alghamdi/biography/,5
frieze_london,Gallery Baton,gallery-baton,yuichi-hirako,https://gallerybaton.com/artists/66-yuichi-hirako,5
frieze_london,The Approach,the-approach,tom-allen,https://www.theapproach.co.uk/artists/tom-allen/,5
liste,A+ Works of Art,a-works-of-art,phuan-thai-meng,https://aplusart.asia/artists/57-phuan-thai-meng,5
liste,Addis Fine Art,addis-fine-art,wosene-worke-kosrof,https://addisfineart.com/artists/69-wosene-worke-kosrof/works,5
liste,Afriart Gallery,afriart-gallery,sungi-mlengeya,https://afriartgallery.org/artists/sungi-mlengeya,5
liste,Amanita,amanita,marco-scarpi,https://spazioamanita.com/Artists/Marco-Scarpi,5
liste,Anca Poteraşu Gallery,anca-potera-u-gallery,yasmina-assbane-2,https://www.ancapoterasu.com/artists/yasmina-assbane-2/,5
